of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
"In the Evening of the Day of the Eve of Preparation, of the 1st Week of the Fast",ܒܪܡܫܐ ܕܝܘܡ ܏ܥܪܘܒ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ
"the 2nd Day of the Week, of the 2nd Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 2nd Day of the Week, of the 2nd Week, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܒܪܘܡܫܐ
"the 3rd Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day of the Week, of the 2nd Week, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܒܪܡܫܐ
"the 4th Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 2nd Week, in the Evening",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܒܪܡܫܐ
"the 5th Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day of the Week, of the 2nd Week, of the Fast",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ
"the Day of the Eve of Preparation, of the 2nd Week, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܒ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 2nd Week, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܒ ܒܪܡܫܐ
"the 2nd Day of the Week, of the 3rd Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕ܏ܨܘ ܒܨܦܪܐ
"the 2nd Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕ܏ܨܘ ܒܪܡܫܐ
"the 3rd Day of the Week, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕ܏ܨܘ ܒܨܦܪܐ
"the 3rd Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the 4th Day of the Week, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the 6th Day of the Week, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܏ܘ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 3rd Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the 2nd Day of the Week, of the 4th Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ
"in the Evening of the 2nd (Day) of the Week, of the 4th Week of the Fast",ܒܪܡܫܐ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܕ ܕܨܘܡܐ
"the 3rd Day of the Week, of 4th Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܕ ܕܨܘܡ ܒܨܦܪܐ
"the 3rd Day of the Week, of the 4th Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܕ ܕ܏ܨܘܡ ܒܨܦܪܐ(!)
"the 4th Day of the Week, of the Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܕܨܘܡܐ ܒܨܦܪܐ
"of 4th Day of the Week, of the Middle Week of the Fast, in the Evening",ܕܝܘܡ ܕ ܏ܒܫ ܕ܏ܫܒ ܕܦܠܓܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the 5th Day of the Week, of the Middle Week of Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܕܦܠܓܗ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day of the Week, of the 4th Week, of the Fast, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܕ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 4th Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 4th Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܏ܕܫܒ ܏ܕ ܕܨܘܡܐ ܒܪܡܫܐ
"the 2nd Day of the Week, of the 5th Week, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܒܪܡܫܐ
"the 3rd Day of the Week, of the 5th Week, of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the 4th Day of the Week, of the 5th Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 5th Week, in the Evening",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܒܪܡܫܐ
"the 5th Day of the Week, of the 5th Week of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day of the Week, of the 5th Week, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܗ - ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 5th Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܗ ܕ܏ܨܘ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 5th Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܗ ܕ܏ܨܘ ܒܪܡܫܐ
"the 2nd Day of the Week, in the 6th Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܒ܏ܫܒ ܏ܘ ܏ܕܨܘ ܒܨܦܪܐ
"the 2nd Day of the Week, in the 6th Week, of the Fast, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܒ܏ܫܒ ܏ܘ ܏ܕܨܘ ܒܪܡܫܐ
"the 3rd Day of the Week, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕ܏ܨܘ ܒܨܦܪܐ
"the 3rd Day of the Week, of the 6th Week, of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕ܏ܨܘ ܒܪܡܫܐ
"the 4th Day of the Week, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 6th Week, in the Evening",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܘ - ܒܪܡܫܐ
"the 5th Day of the Week, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕ܏ܨܘ ܒܨܦܪܐ
"the 5th Day of the Week, of the 6th Week, of the Fast, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕ܏ܨܘ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܘ ܏ܕܨܘ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 6th Week, in the Evening",ܝܘܡ ܏ܥܪܘܒ ܕ܏ܫܒ ܏ܘ ܒܪܡܫܐ
"the Dawn of the First (Day) of the Week, of the Hosannas",ܢܓܗ ܚܕܒܫ ܕܐܘܫ̈ܥܢܐ
"the 2nd Day of the Week, of the Great Week, of the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܕܨܦܪܐ(!)
"the 2nd Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܕܪܡܫܐ
"the 3rd Day of the Week, of the Great Week",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ
"the 3rd Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܏ܓ ܒܫ ܕܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the 4th Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the 5th Day of the Week, of the Week, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܒܨܦܪܐ
"the Great Day of the Eve of Preparation, in the Morning",ܝܘܡ ܥܪܘܦܬܐ ܪܒܬܐ ܒܨܦܪܐ
in the Sixth Hour of the Great Eve of Preparation,ܒܬܫ̈ܥ ܫ̈ܥܝܢ ܕܥܪܘܦܬܐ ܪܒܬܐ
the Third Station,ܩܘܡܐ ܕܬܠ̈ܬܐ
the Fourth Station,ܩܘܡܐ ܕܪ̈ܒܥܐ
the Dawn of the Feast of the Ascension,ܢܓܗ ܥܐܕܐ ܕܣܘܠܩܐ
"the Dawn of the First (Day) of the Week, of the Holy Fathers; before the First (Day) of the Week, of Pentecost",ܢܓܗ ܚܕ܏ܒܫ ܕܐܒܗ̈ܬܐ ܩܕ̈ܝܫܐ ܕܩܕܡ ܚܕ܏ܒܫ ܕ܏ܦܢܛܝ
"the Dawn of the First (Day) of the Week, of Pentecost",ܢܓܗ ܚܕ ܏ܒܫ ܕܦܢ܏ܛܝܟܘ (!)
"the Dawn of the First (Day) of the Week, after of Pentecost",ܢܓܗ ܚܕܒܫ ܕܒܬܪ ܏ܦܢܛܝ
"The Month of Elul, the Beginning of the year, the Feast of Mar Simeon the First of the Stylites, the Dawn of the Feast",ܐܝܠܘܠ ܝܪܚܐ ܪܝܫ ܫܢܬܐ ܥܐܕܐ ܕܡܪܝ ܫܡܥܘܢ ܪܝܫ ܐܣܛܘ̈ܢܝܐ ܢܓܗ̣ ܥܐܕܐ
"for the 8th of Elul, the Feast of the Begetting of the God-Bearer",܏ܒܚ ܒܐܝܠܘܠ ܥܐܕܐ ܕܐܝܠܕܘܬܗ̇ ܕܝܠܕܬ ܐܠܗܐ
"14 Elul, the Feast of the Cross",܏ܝܕ ܐܝܠܘܠ ܥܐܕܐ ܕܨܠܝܒܐ
"for the 26th of Elul, the Feast of Mar John the Evangelist",ܒ܏ܟܘ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܪܝ ܝܘܚܢܢ ܐܘܢܓܠܣܛܝܐ
"for the 25th of Elul, Feast of Mar John the Evangelist", ܒ܏ܟܘ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܪܝ ܝܘܚܢܢ ܐܘܢܓܠܣܛܝܐ
"for the Second of Shebat, the Feast of the Entry of our Lord in the Temple",ܒܬܪ̈ܝܢ ܏ܒܫܒܛ ܥܐܕܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ
"for the 25th of Adar, the Feast of the Annunciation of the God-Bearer",܏ܒܟܗ ܒܐܕܪ ܥܐܕܐ ܕܣܘܒܪܗ̇ ܕܝܠܕܬ ܐܠܗܐ
"the 29th of Ḥaziran, the Feast of the Chief Apostles Peter and Paul",܏ܟܛ ܒܚܙܝܪܢ ܥܐܕܐ ܕܪܝܫܝ ܫܠܝܚܐ ܦܛܪܘܣ ܘܦܘܠܘܣ
"for the 20th of Tammuz, the Feast of Mar Elijah",܏ܒܟܟ ܒܬܡܘܙ ܥܐܕܐ ܕܡܪܝ ܐܠܝܐ
"for the 6th of the Month Ab, the Feast of the Revelation of our Lord on Mount Tabor",܏ܒܘ ܒܐܒ ܝܪܚܐ ܥܐܕܐ ܕܡܬܓܠܝܢܘܬܗ ܕܡܪܢ ܒܛܘܪ ܬܒܘܪ
"the 4th of Elul, the Feast of Mar Moses the Prophet",ܕ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܪܝ ܡܘܫܐ ܢܒܝܐ
"the 6th of Elul, the Feast of Michael the Archangel",ܘ ܒܐܝܠܘܠ ܥܐܕܐ ܕܪܝܫ ܡܠܐܟܐ ܡܝܟܐܝܠ
"the 8th of Elul, see what is written above; the 13th of Elul, the Renewal of the First Temple of Jerusalem",ܚ ܒܐܝܠܘܠ ܗܟܬܝܒܝܢ ܠܥܠ ܀ ܝܓ ܒܐܝܠܘܠ ܚܘܕܬ ܗܝܟܠܐ ܕܩܝܡܬܐ ܒܐܘܪܫܠܡ
"the 25th of Elul, the Commemoration of the Great Earthquake",܏ܟܗ ܒܐܝܠܘܠ ܕܘܟܪܢ ܪܥܠ ܪܒܬܐ
"the 26th of Elul, see before you",ܟܘ ܒܐܝܠܘܠ ܚܙܝ ܩܕܡܝܟ
"the 11st of Teshri, of Teshri I, the Commemoration of the Seventh and Holy Synod, it brought together the Bishops of the whole inhabited world, this is the Second Council of Nicea",ܝܐ ܒܬܫܪܝܢ ܒܬܫܪܝܢ ܏ܐ ܕܘܟܪܢ ܣܝܢܘܕܘܣ ܫܒܝܥܝܐ ܘܩܕܝܫܐ ܗ̇ܘ ܕܟܢܫ ܐܦܝܣ̈܏ܩܘ ܕܟܠܗ̇ ܬܐܒܝܠ ܘܗܘܐ ܐܝܬ܏ܘ ܣܝܢܘ܏ܕܘ ܬܪܝܢܐ ܒܢܝܩܝܗ
"the 8th of Teshri II, of the Archangel, for the Readings look at the 6th of Elul",ܚ ܒܬܫܪܝܢ ܏ܒ ܕܪܝܫ ܡ̈ܠܐܟܐ: ܩܪ̈ܝܢܐ ܒܥܝ ܏ܘ ܒܐܝܠܘܠ.
"the 13th of Teshri II, the Feast of Saint John Chrysostom",ܝܓ ܒܬܫܪܝܢ ܏ܒ ܥܐܕܐ ܕܩܕܝܫܐ ܝܘܚܢܢ ܦܘܡܐ ܕܕܗܒܐ
"the 21th of Teshri II, the Feast of the entry of our Lady the Bearer for the Temple",ܟܐ ܒܬܫܪܝܢ ܒ ܥܐܕܐ ܕܡܥܠܬܗ̇ ܕܡܪܬܢ ܝܠܕܬ ܠܗܝܟܠܐ
"the 23th of Kanun I, the Dawn of the Renewal of the Great Temple of Agia Sophia in Constantinople the Great",ܟܓ ܒܟܢܘܢ ܏ܐ ܢܓܗ ܥܐܕܐ ܕܚܘܕܬܐ ܕܗܝܟܠܐ ܪܒܐ ܕܩܕܝܫܬܐ ܨܘܦܝܐ ܒܩܘܣܛܢܛܝܢܝܐ ܪܒܬܐ
"the First (Day) of the Week, before the Birth",ܚ܏ܕܒܫ ܕܩܕܡ ܒܝܬ ܝܠܕܐ
"the 25th of Kanun II, of Saint Gregory the Theologian",ܟܗ ܒܟܢܘܢ ܏ܒ ܥܐܕܐ ܕܩܕܝܫܐ ܓܪܝܓܘܪܝܘܣ ܬܐܘܠܘܓܘܣ
"the 27th of Kanun II, the Translation of the relics of John Chrysostom",ܟܙ ܒܟܢܘܢ ܏ܒ ܫܘܢܝ ܦܓܪܗ ܕܝܘܚܢܢ ܦܘܡܗ ܕܕܗܒܐ
"the 2nd of Shebat, the Feast of the Entry of our Lord in the Temple",ܒ ܒܫܒܛ ܥܐܕܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ ܙܘܡܪܐ ... ܘܩܪ̈ܝܢܐ ܡܢ ܩܕܡ
"the 17th of Adar, the Commemoration of the Great Earthquake",ܝܙ ܒܐܕܪ ܕܘܟܪܢ ܪܥܠܐ ܪܒܬܐ
"the 8th of Iyar, the Feast of John the Evangelist, look at the Readings of the 26th of Elul",ܚ ܒܐܝܪ ܥܐܕܐ ܕܝܘܚܢܢ ܐܘܢܓܠܝܣܛܐ ܒܥܝ ܩܪ̈ܝܢܐ ܏ܟܘ ܒܐܝܠܘܠ
"the 11th of Iyar, the Foundation of the City of Constantinople",܏ܝܐ ܒܐܝܪ ܫܘܟܠܠ ܡܕܝܢܬܐ ܩܘܣܛܢܛܝܢܝܐ
"(Day) four, of the Middle, of Pentecost",ܐܪܒܥܐ ܕܡܨܥܬ ܦܢܛ܏ܝܩܘ
"the 24th of Ḥaziran, for the Begetting of Mar John the Baptist",ܟ܏ܕ ܒܚܙܝܪܢ ܡܘܠܕܗ ܕܡܪܝ ܝܘܚܢܢ ܡܥܡܕܢܐ
"26 Ḥaziran, of the Apostles Peter and Paul, before you",܏ܟܘ ܚܙܝܪܢ ܕܫܠܝܚܐ ܦܛܪܘܣ ܘܦܘܠܘܣ ܩܕܡܝܟ
"the 16th of Tammuz, the Fourth Synod, Reading of the First (Day) of the Week, before Pentecost",܏ܝܘ ܒܬܡܘܙ ܟܢܘܫܝܐ ܪܒܝܥܝܐ ܩܪܝܢܐ ܒܚܕܒ ܕܩܕܡ ܦܢܛܝ
"the 20th of Tammuz, at its location",ܟܟ ܒܬܡܘܙ ܒܕܘܟܝܬܗܝܢ
"the 6th of Ab, look at its location",܏ܘ ܒܐܒ ܒܥܝ ܒܕܘܟܝܬܗܝܢ
"the 7th of Ab, the coming of barbarians",ܙ ܒܐܒ ܡܐܬܝܬܐ ܕܒܪܒܪ̈ܝܐ
"the 15th of Ab, look at the 8th of Elul",ܝܗ ܒܐܒ: ܒܥܝ ܚ̣ ܒܐܝܠܘܠ
"the 29th of Ab, the Feast of the cutting of the head of Mar John the Baptist",ܟܛ. ܒܐܒ ܥܐܕܐ ܕܦܣܩ ܪܝܫܗ ܕܡܪܝ ܝܘܚܢܢ ܡܥܡܕܢܐ
"Furthermore, the Order of the Readings of the Holy Feast of the Manifestation",ܬܘܒ ܛܟܣܐ ܕܩܪܝܢܐ ܕܥܕܐ(!) ܩܕܝܫܐ ܕܒܝܬ ܕܢܚܐ
"the Fourth Day of the Week, of the Week of Cheese, in the Morning",ܝܘܡ ܐܪܒܥܐ ܏ܒܫ ܕܫܒܬܐ ܕܓܒܬܐ ܒܨܦܪܐ
in the very Evening of the Day,ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ
"the Second Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܬܪܝܢ ܒ܏ܫ ܕ܏ܫܒ ܐ ܕܨܘܡܐ ܒܨܦܪܐ
"In the Evening of the 2nd Day of the Week, the 1st, of Fast",ܒܪܡܫܐ ܕܝܘܡ ܀ ܏ܒ ܏ܒܫ ܀܏ܐ ܀ ܕܨܘܡܐ
"the 3rd Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ :ܓ: ܒܫ ܕܫ܏ܒ ܏ܐ ܕܨܘܡܐ ܒܨܦܪܐ܀
"the 3rd Day, in the Evening",ܝܘܡ ܓ ܒܪܡܫܐ܀
"the 4th Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܒ܏ܫ ܕܫܒܬܐ : ܒ ܏ܐ .. ܕܨܘܡܐ ܒܨܦܪܐ
"In the very Evening of the 4th Day in the Week, the 1st of the Fast",ܒܪܡܫܐ: ܕܝܠܗ ܕܝܘܡܐ ܏ܕ ܒ܏ܫ ܏ܐ. ܕܨܘܡܐ܀
"the 5th Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܗ [.]ܢ ܒ܏ܫ: ܕ܏ܫܒ ܐ܀ ܕܨܘܡܐ ܒܨܦܪܐ
"in the very Evening of the 5th Day, of the 1st Week",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܏ܗ ܕܫܒܬܐ ܏ܐ ܀
"the Day of the Eve of Preparation, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܀ܐ܀ ܕܨܘܡܐ ܒܨܦܪܐ
"In the Evening of the Day of the Eve of Preparation, of the 1st Week of the Fast",ܒܪܡܫܐ ܕܝܘܡ ܥܪܘܒܬܐ ܕܫ܏ܒ : ܐ ܀ ܕܨܘܡܐ
"the 2nd Day of the Week, of the 2nd Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܀ ܕܨܘܡܐ܀ ܒܨܦܪܐ
"in the very Evening of the 2nd Day in the Week, of the 2nd Week",ܒܪܡܫܐ ܕܝܠܗ ܝܘܡܐ ܏ܒ ܀ ܒܫ܀ ܕ܏ܫܒ ܏ܒ ܀
"the 3rd Day of the Week, of the 2nd Week, of the Fast, in the Evening",ܝܘܡ ܀ܓ܀ ܏ܒܫ ܕ܏ܫܒ ܀ ܏ܒ ܀ ܕܨܘܡܐ ܀ ܒܨܦܪܐ
"the 3rd Day of the Week, the 4th(!) of the Week of the Fast, in the Evening",ܝܘܡ ܓ. ܒ܏ܫ ܏ܕ ܕܫܒܬܐ ܕܨܘܡܐ ܒܪܡܫܐ
"the 4th Day of the Week, of the 2nd Week of the Fast, in the Morning",ܝܘܡ: ܏ܕ ܏ܒܫ ܕܫܒܬܐ ܏ܒ: ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 2nd Week, in the Evening",ܝܘܡ ܀ܕ܀ ܒ܏ܫܐ ܕ܏ܫܒ ܀ ܏ܒ ܀ ܒܪܡܫܐ ܀
"the 5th Day of the Week, of the 2nd Week, of the Fast, in the Morning",ܝܘܡ ܀ ܏ܗ ܀ ܒ܏ܫ ܕ܏ܫܒ ܀ ܒ܀ ܕܨܘܡܐ: ܒܨܦܪܐ܀
"the 5th Day of the Week, of the 2nd Week, of the Fast, in the Evening",ܝܘܡ ܀ ܏ܗ ܀ ܒ܏ܫ ܕ܏ܫܒ ܀ ܒ܀ ܕܨܘܡܐ: ܒܪܡܫܐ܀
"the Day of the Eve of Preparation, of the Week, in the Morning",ܝܘܡ. ܥܪܘܒܬܐ ܕܫܒܬܐ܀ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 2nd Week, in the Evening",ܝܘܡ ܥ܏ܪܘܒ܀ ܕ܏ܫܒ ܏ܒ ܀ ܒܪܘܡܫܐ(!)܀
"the 4th Day of the Week, of the 3rd Week, of the Fast, in the Morning",ܝܘܡ ܀܏ܒ ܀ ܏ܒܫ ܕ܏ܫܒ ܀ ܓ܀ ܕܨܘܡܐ ܒܨܦܪܐ܀
"the 3rd Day of the Week, of the 3rd Week, of the Fast, in the Morning",ܝܘܡ ܏ܓ : ܏ܒܫ ܀ ܕܫܒܬܐ ܏ܓ : ܕܨܘܡܐ: ܒܨܦܪܐ
"the 3rd Day of the Week, of the 3rd Week, in the Evening",ܝܘܡ ܏ܓ : ܏ܒܫ ܀ ܕ܏ܫܒ ܀ ܏ܓ ܒܪܡܫܐ܀
"the 4th Day of the Week, of the 3rd Week",ܝܘܡ ܕ ܀ ܏ܒܫ ܀ ܕ܏ܫܒ ܀ ܏ܓ ܀܀
"the 4th Day of the Week, of the 3rd Week of the Fast, in the Evening",ܝܘܡ ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ܀
"the 5th Day of the Week, the 3rd, of the Fast, in the Morning",ܝܘܡ. ܏ܗ ܏ܒܫ ܏ܓ ܀ ܕܨܘܡܐ ܀ ܒܨܦܪܥ(!)
"the Fifth Day of the Week, of the 3rd Week, in the Evening",ܝܘܡ ܚܡܫܐ ܏ܒܫ ܀ ܕ܏ܫܒ ܀ ܏ܓ ܀ ܒܪܡܫܐ܀
"the Day of the Eve of Preparation, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܀܀ ܏ܓ : ܕܨܘܡܐ: ܒܨܦܪܐ܀
"the Day of the Eve of Preparation, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܒܪܘܡܫܐ(!)
"the 2nd Day of the Week, of the 4th Week of the Fast",ܝܘܡ܀ܒ܀܏ܒܫ܀ܕ܏ܫܒ܀܏ܕ ܀ ܕܨܘܡܐ܀
"the 2nd Day of the Week, in the Evening, of the 4th Week",ܝܘܡ ܏ܒ ܀ ܏ܒܫ ܒܪܘܡܫܐ(!) ܕܫܒܬܐ.ܕ܀
"the 3rd Day of the Week, of the 4th Week",ܝܘܡ ܏ܓ ܀ ܏ܒܫ ܕܫܒܬܐ ܕ ܀
"the 3rd Day in the Week, of the 4th Week, of the Fast, in the Evening",ܝܘܡ ܓ ܀ ܏ܒܫ ܕܫܒܬܐ ܏ܕ ܀ ܕܨܘܡܐ ܒܪܘܡܫܐ:(!)
"the 4th Day of the Week, of the 4th Week of the Fast",ܝܘܡ ܕ ܏ܒܫ. ܕܫܒܬܐ ܕ ܕܨܘܡܐ
"the 4th Day, of the Middle Week, of the Fast, in the Evening",ܝܘܡ ܏ܕ ܀ ܏ܒܫܒ ܕܦܠܓܗ ܕܨܘܡܐ ܒܪܘܡܫܐ(!)
"the 5th Day of the Week, of Week 4 of the Fast, in the Morning",ܝܘܡ ܏ܗ ܀ ܏ܒܫ ܕܫܒܬܐ: ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ܀
"the 5th Day of the Week, in the Evening",ܝܘܡ ܏ܗ ܀ ܏ܒܫ ܒܪܡܫܐ:
"the Day of the Eve of Preparation, of the 4th Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܕ: ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 4th Week, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕܫܒ ܀ ܕ ܒܪܘܡܫܐ(!)܀
"the (?nt) Day of the Week, of the 4th Week of the Fast, in the Morning",ܝܘܡ ܏ܒܫ ܀ ܕܫܒܬܐ ܏ܕ ܀ ܕܨܘܡܐ ܒܨܦܪܐ܀
"the 2nd Day of the Week, of the Fifth Week, in the Evening",ܝܘܡ ܒ ܒܫ ܕܫܒܬܐ ܕܚܡܫܐ ܒܪܘܡܫܐ(!)܀
"the 3rd Day of the Week, of the 6th Week, of the Fast",ܝܘܡ ܏ܓ ܏ܒܫ ܕܫܒܬ ܏ܗ ܕܨܘܡܐ
